feature,importance
days_since_last_order,3
order_regularity,1
at_risk_score,0
favorite_products_count,0
unique_products,0
unique_aisles,0
unique_departments,0
avg_products_per_order,0
product_diversity_score,0
exploration_rate,0
rfm_total_score,0
clv_proxy,0
engagement_score,0
loyalty_index,0
purchase_velocity,0
avg_reorder_rate_per_order,0
order_count_trend,0
basket_size_trend,0
order_frequency_trend,0
recency_acceleration,0
recency_x_frequency,0
basket_x_frequency,0
reorder_x_diversity,0
age_x_orders,0
weekend_x_hour,0
recency_squared,0
reorder_consistency_std,0
reorder_rate_std,0
days_since_first_order,0
total_unique_products_ordered,0
customer_age_days,0
avg_days_between_orders,0
total_orders,0
orders_per_day,0
std_days_between_orders,0
avg_basket_size,0
total_items_ordered,0
basket_size_std,0
basket_size_cv,0
avg_unique_products_per_order,0
avg_order_hour,0
total_reordered_items,0
std_order_hour,0
preferred_hour,0
avg_order_dow,0
std_order_dow,0
preferred_dow,0
weekend_order_ratio,0
night_order_ratio,0
morning_order_ratio,0
afternoon_order_ratio,0
overall_reorder_rate,0
frequency_log,0
